Date,CampaignID,CampaignName,Platform,TargetAudience,Impressions,Clicks,Leads,Applications,Enrollments,Cost (₹),Revenue (₹),Region,CTR (%),Lead Conversion Rate (%),Application Conversion Rate (%),Enrollment Conversion Rate (%),ROI (%),Cost per Lead (₹),Cost per Enrollment (₹)
2024-01-01,AD004,Hackathon,YouTube,17–21 Age,285708,16956,4087,2547,1148,275457.87,4615838.04,West India,5.93,24.1,62.32,45.07,1575.7,67.4,239.95
2024-01-02,AD004,Hackathon,YouTube,17–21 Age,140449,10082,1815,951,565,133025.86,3513169.9,North India,7.18,18.0,52.4,59.41,2540.97,73.29,235.44
2024-01-03,AD004,Hackathon,YouTube,17–21 Age,140958,7474,1169,683,343,135765.61,1051924.88,North India,5.3,15.64,58.43,50.22,674.81,116.14,395.82
2024-01-04,AD004,Hackathon,YouTube,22–27 Age,257823,16841,3179,1584,698,229715.44,3850639.56,West India,6.53,18.88,49.83,44.07,1576.27,72.26,329.11
2024-01-05,AD004,Hackathon,YouTube,25–35 Age,98595,7293,1340,854,368,52360.96,1543262.86,West India,7.4,18.37,63.73,43.09,2847.35,39.08,142.29
2024-01-06,AD004,Hackathon,YouTube,22–27 Age,68114,5377,909,505,222,27454.35,1717163.91,North India,7.89,16.91,55.56,43.96,6154.62,30.2,123.67
2024-01-07,AD004,Hackathon,YouTube,17–21 Age,175572,6855,1452,757,346,95497.97,2598807.52,East India,3.9,21.18,52.13,45.71,2621.32,65.77,276.01
2024-01-08,AD004,Hackathon,YouTube,22–27 Age,231966,9373,1934,1247,553,175649.0,2558956.35,West India,4.04,20.63,64.48,44.35,1356.86,90.82,317.63
2024-01-09,AD004,Hackathon,YouTube,17–21 Age,281339,12310,2329,1319,734,126723.85,4265725.03,West India,4.38,18.92,56.63,55.65,3266.16,54.41,172.65
2024-01-10,AD004,Hackathon,YouTube,22–27 Age,98805,6952,1479,955,455,49446.12,3012430.04,North India,7.04,21.27,64.57,47.64,5992.35,33.43,108.67
2024-01-11,AD004,Hackathon,YouTube,25–35 Age,144093,11451,1776,934,480,104177.45,1723113.84,North India,7.95,15.51,52.59,51.39,1554.02,58.66,217.04
2024-01-12,AD004,Hackathon,YouTube,25–35 Age,158894,6588,1470,867,405,102314.09,3080880.49,Pan India,4.15,22.31,58.98,46.71,2911.2,69.6,252.63
2024-01-13,AD004,Hackathon,YouTube,25–35 Age,66250,4921,871,392,210,51283.71,1495426.01,North India,7.43,17.7,45.01,53.57,2815.99,58.88,244.21
2024-01-14,AD004,Hackathon,YouTube,25–35 Age,146445,6570,1466,803,436,60478.27,2107164.39,West India,4.49,22.31,54.77,54.3,3384.17,41.25,138.71
2024-01-15,AD004,Hackathon,YouTube,22–27 Age,95097,7359,1754,1030,512,47007.7,2174797.75,South India,7.74,23.83,58.72,49.71,4526.47,26.8,91.81
2024-01-16,AD004,Hackathon,YouTube,17–21 Age,234993,13461,2316,1322,778,118803.89,3598637.63,South India,5.73,17.21,57.08,58.85,2929.06,51.3,152.7
2024-01-17,AD004,Hackathon,YouTube,25–35 Age,72601,4823,859,471,224,65231.88,1540858.24,West India,6.64,17.81,54.83,47.56,2262.12,75.94,291.21
2024-01-18,AD004,Hackathon,YouTube,17–21 Age,64854,3268,774,379,187,29837.69,1134934.72,South India,5.04,23.68,48.97,49.34,3703.69,38.55,159.56
2024-01-19,AD004,Hackathon,YouTube,25–35 Age,140767,7435,1316,748,419,134777.68,2166219.39,Pan India,5.28,17.7,56.84,56.02,1507.25,102.41,321.67
2024-01-20,AD004,Hackathon,YouTube,22–27 Age,102564,4036,954,619,352,51435.05,2739137.65,West India,3.94,23.64,64.88,56.87,5225.43,53.92,146.12
2024-01-21,AD004,Hackathon,YouTube,25–35 Age,99366,6149,1025,585,331,39928.53,2041493.6,East India,6.19,16.67,57.07,56.58,5012.87,38.95,120.63
2024-01-22,AD004,Hackathon,YouTube,17–21 Age,130732,9877,1815,1127,550,65158.43,2707316.61,Pan India,7.56,18.38,62.09,48.8,4054.98,35.9,118.47
2024-01-23,AD004,Hackathon,YouTube,22–27 Age,60282,3890,823,440,184,50617.5,1332250.53,East India,6.45,21.16,53.46,41.82,2532.0,61.5,275.1
2024-01-24,AD004,Hackathon,YouTube,22–27 Age,227987,9955,2151,1233,739,116682.0,4318918.7,North India,4.37,21.61,57.32,59.94,3601.44,54.25,157.89
2024-01-25,AD004,Hackathon,YouTube,22–27 Age,272168,16989,3561,1864,959,166206.38,4449882.89,West India,6.24,20.96,52.34,51.45,2577.32,46.67,173.31
2024-01-26,AD004,Hackathon,YouTube,17–21 Age,264817,10684,1820,1080,558,178964.33,2959111.96,North India,4.03,17.03,59.34,51.67,1553.46,98.33,320.72
2024-01-27,AD004,Hackathon,YouTube,22–27 Age,296970,16468,3817,2120,1220,288391.33,6571498.95,Pan India,5.55,23.18,55.54,57.55,2178.67,75.55,236.39
2024-01-28,AD004,Hackathon,YouTube,25–35 Age,280154,13508,2070,1200,490,258351.31,2606824.76,West India,4.82,15.32,57.97,40.83,909.02,124.81,527.25
2024-01-29,AD004,Hackathon,YouTube,17–21 Age,246082,9319,1989,960,442,195337.39,2170310.94,East India,3.79,21.34,48.27,46.04,1011.06,98.21,441.94
2024-01-30,AD004,Hackathon,YouTube,25–35 Age,162479,9378,2210,1154,604,157517.73,4429720.09,Pan India,5.77,23.57,52.22,52.34,2712.2,71.27,260.79
2024-01-31,AD004,Hackathon,YouTube,22–27 Age,256182,17232,3397,1850,871,212839.26,3579677.63,South India,6.73,19.71,54.46,47.08,1581.87,62.66,244.36
2024-02-01,AD004,Hackathon,YouTube,22–27 Age,269710,19961,3100,1479,780,108988.07,2698691.68,South India,7.4,15.53,47.71,52.74,2376.13,35.16,139.73
2024-02-02,AD004,Hackathon,YouTube,17–21 Age,85354,4637,948,471,279,39467.1,1069477.66,Pan India,5.43,20.44,49.68,59.24,2609.8,41.63,141.46
2024-02-03,AD004,Hackathon,YouTube,17–21 Age,96853,3046,699,327,162,53820.55,868489.67,North India,3.14,22.95,46.78,49.54,1513.68,77.0,332.23
2024-02-04,AD004,Hackathon,YouTube,17–21 Age,251547,15827,2989,1925,804,123902.52,5851415.05,West India,6.29,18.89,64.4,41.77,4622.6,41.45,154.11
2024-02-05,AD004,Hackathon,YouTube,17–21 Age,189912,12514,2711,1616,890,132682.38,5279956.64,North India,6.59,21.66,59.61,55.07,3879.4,48.94,149.08
2024-02-06,AD004,Hackathon,YouTube,25–35 Age,202653,7479,1790,1010,592,93098.57,3172503.59,West India,3.69,23.93,56.42,58.61,3307.68,52.01,157.26
2024-02-07,AD004,Hackathon,YouTube,17–21 Age,72831,5085,1192,648,367,65890.34,2806226.91,West India,6.98,23.44,54.36,56.64,4158.94,55.28,179.54
2024-02-08,AD004,Hackathon,YouTube,25–35 Age,215776,15117,2292,1195,520,203852.45,3424734.79,East India,7.01,15.16,52.14,43.51,1580.01,88.94,392.02
2024-02-09,AD004,Hackathon,YouTube,17–21 Age,72443,3074,557,275,119,67537.92,364638.44,South India,4.24,18.12,49.37,43.27,439.9,121.25,567.55
2024-02-10,AD004,Hackathon,YouTube,25–35 Age,155169,10534,1826,964,488,65548.51,2007650.15,South India,6.79,17.33,52.79,50.62,2962.85,35.9,134.32
2024-02-11,AD004,Hackathon,YouTube,17–21 Age,145600,10817,2620,1253,628,143250.0,3766197.11,Pan India,7.43,24.22,47.82,50.12,2529.11,54.68,228.11
2024-02-12,AD004,Hackathon,YouTube,22–27 Age,235449,17901,3572,1970,869,156170.05,3779197.39,East India,7.6,19.95,55.15,44.11,2319.92,43.72,179.71
2024-02-13,AD004,Hackathon,YouTube,25–35 Age,92082,5873,1376,740,425,72924.97,2747864.33,North India,6.38,23.43,53.78,57.43,3668.07,53.0,171.59
2024-02-14,AD004,Hackathon,YouTube,22–27 Age,69767,4894,1047,585,275,47791.5,2145764.47,Pan India,7.01,21.39,55.87,47.01,4389.85,45.65,173.79
2024-02-15,AD004,Hackathon,YouTube,17–21 Age,131440,4550,1063,659,286,119990.61,1990223.55,East India,3.46,23.36,61.99,43.4,1558.65,112.88,419.55
2024-02-16,AD004,Hackathon,YouTube,25–35 Age,281475,14540,2460,1239,519,112654.64,3920124.36,South India,5.17,16.92,50.37,41.89,3379.77,45.79,217.06
2024-02-17,AD004,Hackathon,YouTube,17–21 Age,138904,6550,1548,797,435,128170.76,3043168.56,South India,4.72,23.63,51.49,54.58,2274.31,82.8,294.65
2024-02-18,AD004,Hackathon,YouTube,25–35 Age,294254,13308,3157,1809,752,251733.22,4143706.82,Pan India,4.52,23.72,57.3,41.57,1546.07,79.74,334.75
2024-02-19,AD004,Hackathon,YouTube,17–21 Age,176880,12551,2597,1551,905,165229.22,3242544.96,South India,7.1,20.69,59.72,58.35,1862.45,63.62,182.57
2024-02-20,AD004,Hackathon,YouTube,25–35 Age,135158,10392,2062,977,480,101398.32,1965140.43,North India,7.69,19.84,47.38,49.13,1838.04,49.17,211.25
2024-02-21,AD004,Hackathon,YouTube,22–27 Age,236532,17823,2773,1664,752,209088.36,2447521.69,Pan India,7.54,15.56,60.01,45.19,1070.57,75.4,278.04
2024-02-22,AD004,Hackathon,YouTube,17–21 Age,279307,12903,2336,1311,548,265211.11,3931415.84,North India,4.62,18.1,56.12,41.8,1382.37,113.53,483.96
2024-02-23,AD004,Hackathon,YouTube,17–21 Age,51984,2911,604,374,222,27007.8,1729748.62,South India,5.6,20.75,61.92,59.36,6304.63,44.71,121.66
2024-02-24,AD004,Hackathon,YouTube,25–35 Age,103947,7149,1414,811,375,55023.96,1623225.67,South India,6.88,19.78,57.36,46.24,2850.03,38.91,146.73
2024-02-25,AD004,Hackathon,YouTube,22–27 Age,61783,3786,675,431,230,48713.0,1095170.86,East India,6.13,17.83,63.85,53.36,2148.21,72.17,211.8
2024-02-26,AD004,Hackathon,YouTube,25–35 Age,211522,8146,1649,828,347,139232.0,1343595.62,East India,3.85,20.24,50.21,41.91,865.0,84.43,401.24
2024-02-27,AD004,Hackathon,YouTube,22–27 Age,55880,1910,340,220,103,40730.48,486883.69,South India,3.42,17.8,64.71,46.82,1095.38,119.8,395.44
2024-02-28,AD004,Hackathon,YouTube,17–21 Age,167535,11504,2177,1304,556,110296.86,4174012.5,West India,6.87,18.92,59.9,42.64,3684.34,50.66,198.38
2024-02-29,AD004,Hackathon,YouTube,25–35 Age,206944,15993,2610,1657,747,170089.29,2704688.17,West India,7.73,16.32,63.49,45.08,1490.16,65.17,227.7
2024-03-01,AD001,UG Admission,Google Ads,17–21 Age,86043,5121,1032,663,383,84842.24,2067523.93,Pan India,5.95,20.15,64.24,57.77,2336.9,82.21,221.52
2024-03-01,AD004,Hackathon,YouTube,22–27 Age,238624,16826,3034,1553,882,121439.76,5523179.95,East India,7.05,18.03,51.19,56.79,4448.08,40.03,137.69
2024-03-02,AD001,UG Admission,Google Ads,17–21 Age,106383,8132,1989,1180,597,68120.59,4167141.49,South India,7.64,24.46,59.33,50.59,6017.3,34.25,114.1
2024-03-02,AD004,Hackathon,YouTube,25–35 Age,137353,10177,1561,926,440,62507.3,2300981.91,Pan India,7.41,15.34,59.32,47.52,3581.14,40.04,142.06
2024-03-03,AD001,UG Admission,Google Ads,17–21 Age,190183,9911,2343,1331,712,170515.0,2633312.2,North India,5.21,23.64,56.81,53.49,1444.33,72.78,239.49
2024-03-03,AD004,Hackathon,YouTube,17–21 Age,248339,16962,3496,1806,789,175686.4,2908345.21,East India,6.83,20.61,51.66,43.69,1555.42,50.25,222.67
2024-03-04,AD001,UG Admission,Google Ads,17–21 Age,151825,7293,1728,1114,497,76965.64,3527269.49,West India,4.8,23.69,64.47,44.61,4482.91,44.54,154.86
2024-03-04,AD004,Hackathon,YouTube,17–21 Age,56983,2037,418,208,123,53251.91,737803.26,Pan India,3.57,20.52,49.76,59.13,1285.5,127.4,432.94
2024-03-05,AD001,UG Admission,Google Ads,17–21 Age,70110,3013,750,468,238,52948.0,1892177.59,South India,4.3,24.89,62.4,50.85,3473.65,70.6,222.47
2024-03-05,AD004,Hackathon,YouTube,22–27 Age,161034,5095,881,462,224,84019.32,923164.11,South India,3.16,17.29,52.44,48.48,998.75,95.37,375.09
2024-03-06,AD001,UG Admission,Google Ads,17–21 Age,127872,7698,1526,763,381,116041.16,2303108.01,Pan India,6.02,19.82,50.0,49.93,1884.73,76.04,304.57
2024-03-06,AD004,Hackathon,YouTube,17–21 Age,207444,12055,2103,1256,542,112399.62,2091662.03,North India,5.81,17.45,59.72,43.15,1760.92,53.45,207.38
2024-03-07,AD001,UG Admission,Google Ads,17–21 Age,125458,8435,1509,693,366,66260.18,2398363.29,West India,6.72,17.89,45.92,52.81,3519.61,43.91,181.04
2024-03-07,AD004,Hackathon,YouTube,25–35 Age,125186,5438,1013,516,288,70257.17,1655474.48,East India,4.34,18.63,50.94,55.81,2256.31,69.36,243.95
2024-03-08,AD001,UG Admission,Google Ads,17–21 Age,52749,3113,594,267,132,47097.46,644765.61,West India,5.9,19.08,44.95,49.44,1269.0,79.29,356.8
2024-03-08,AD004,Hackathon,YouTube,17–21 Age,153379,7139,1663,957,429,102014.36,1463624.77,South India,4.65,23.29,57.55,44.83,1334.72,61.34,237.8
2024-03-09,AD001,UG Admission,Google Ads,17–21 Age,55614,3540,572,343,154,36078.71,646246.86,North India,6.37,16.16,59.97,44.9,1691.21,63.07,234.28
2024-03-09,AD004,Hackathon,YouTube,17–21 Age,123685,8520,2108,1010,406,122048.41,1454477.2,South India,6.89,24.74,47.91,40.2,1091.72,57.9,300.61
2024-03-10,AD001,UG Admission,Google Ads,17–21 Age,160586,9019,1457,790,427,118320.36,2536804.91,North India,5.62,16.15,54.22,54.05,2044.01,81.21,277.1
2024-03-10,AD004,Hackathon,YouTube,25–35 Age,226639,12635,2302,1218,650,199476.34,3964941.02,Pan India,5.57,18.22,52.91,53.37,1887.67,86.65,306.89
2024-03-11,AD001,UG Admission,Google Ads,17–21 Age,73407,5606,883,498,256,70482.99,1018845.71,West India,7.64,15.75,56.4,51.41,1345.52,79.82,275.32
2024-03-11,AD004,Hackathon,YouTube,22–27 Age,213309,8042,1913,1209,533,164269.5,4063881.15,North India,3.77,23.79,63.2,44.09,2373.91,85.87,308.2
2024-03-12,AD001,UG Admission,Google Ads,17–21 Age,216597,15507,2335,1445,726,192461.62,2305973.39,North India,7.16,15.06,61.88,50.24,1098.15,82.42,265.1
2024-03-12,AD004,Hackathon,YouTube,25–35 Age,226506,7970,1292,750,420,175994.8,2066586.58,Pan India,3.52,16.21,58.05,56.0,1074.23,136.22,419.04
2024-03-13,AD001,UG Admission,Google Ads,17–21 Age,175194,5344,957,551,261,169204.3,976767.04,West India,3.05,17.91,57.58,47.37,477.27,176.81,648.29
2024-03-13,AD004,Hackathon,YouTube,22–27 Age,185895,10159,1559,796,319,152446.61,2203003.63,East India,5.46,15.35,51.06,40.08,1345.1,97.78,477.89
2024-03-14,AD001,UG Admission,Google Ads,17–21 Age,188495,10549,1800,1004,441,182807.04,2268459.24,West India,5.6,17.06,55.78,43.92,1140.9,101.56,414.53
2024-03-14,AD004,Hackathon,YouTube,22–27 Age,61348,4749,863,560,278,41334.61,2016292.77,Pan India,7.74,18.17,64.89,49.64,4777.98,47.9,148.69
2024-03-15,AD001,UG Admission,Google Ads,17–21 Age,100344,8008,1473,816,424,77929.71,1344335.07,East India,7.98,18.39,55.4,51.96,1625.06,52.91,183.8
2024-03-15,AD004,Hackathon,YouTube,22–27 Age,194652,12957,2628,1452,793,188268.91,5847270.23,East India,6.66,20.28,55.25,54.61,3005.81,71.64,237.41
2024-03-16,AD001,UG Admission,Google Ads,17–21 Age,275868,10436,1877,1023,453,133644.66,2895845.33,West India,3.78,17.99,54.5,44.28,2066.82,71.2,295.02
2024-03-16,AD004,Hackathon,YouTube,22–27 Age,144241,6954,1273,706,292,70141.8,1034342.01,East India,4.82,18.31,55.46,41.36,1374.64,55.1,240.21
2024-03-17,AD001,UG Admission,Google Ads,17–21 Age,292584,23331,3605,1899,921,169598.15,3162278.82,West India,7.97,15.45,52.68,48.5,1764.57,47.05,184.15
2024-03-17,AD004,Hackathon,YouTube,25–35 Age,117460,8173,1756,887,365,93791.14,1580107.16,South India,6.96,21.49,50.51,41.15,1584.71,53.41,256.96
2024-03-18,AD001,UG Admission,Google Ads,17–21 Age,160356,10619,2317,1167,687,89639.34,4671783.2,South India,6.62,21.82,50.37,58.87,5111.76,38.69,130.48
2024-03-18,AD004,Hackathon,YouTube,17–21 Age,58163,3769,797,395,178,25554.54,1293768.14,North India,6.48,21.15,49.56,45.06,4962.77,32.06,143.56
2024-03-19,AD001,UG Admission,Google Ads,17–21 Age,172256,8896,2048,985,576,152568.15,1915389.82,East India,5.16,23.02,48.1,58.48,1155.43,74.5,264.88
2024-03-19,AD004,Hackathon,YouTube,17–21 Age,258133,14755,2438,1536,617,103655.55,4524608.51,South India,5.72,16.52,63.0,40.17,4265.04,42.52,168.0
2024-03-20,AD001,UG Admission,Google Ads,17–21 Age,203648,8947,1995,1108,625,126623.75,3738989.85,South India,4.39,22.3,55.54,56.41,2852.83,63.47,202.6
2024-03-20,AD004,Hackathon,YouTube,22–27 Age,219527,10693,1929,990,415,203424.0,2119680.17,South India,4.87,18.04,51.32,41.92,942.0,105.46,490.18
2024-03-21,AD001,UG Admission,Google Ads,17–21 Age,85480,4749,1166,617,295,77652.63,1845721.68,North India,5.56,24.55,52.92,47.81,2276.9,66.6,263.23
2024-03-21,AD004,Hackathon,YouTube,17–21 Age,284030,14236,2183,1152,592,262334.25,2663779.71,North India,5.01,15.33,52.77,51.39,915.41,120.17,443.13
2024-03-22,AD001,UG Admission,Google Ads,17–21 Age,298776,13733,2795,1309,703,212229.85,5350895.6,West India,4.6,20.35,46.83,53.71,2421.27,75.93,301.89
2024-03-22,AD004,Hackathon,YouTube,22–27 Age,64434,3679,729,397,235,59041.52,1242049.05,Pan India,5.71,19.82,54.46,59.19,2003.69,80.99,251.24
2024-03-23,AD001,UG Admission,Google Ads,17–21 Age,245366,12959,2802,1515,836,241060.05,6091993.93,North India,5.28,21.62,54.07,55.18,2427.17,86.03,288.35
2024-03-23,AD004,Hackathon,YouTube,25–35 Age,53724,1683,344,159,73,49801.33,513709.91,South India,3.13,20.44,46.22,45.91,931.52,144.77,682.21
2024-03-24,AD001,UG Admission,Google Ads,17–21 Age,240769,8468,1835,987,400,145335.12,2921642.34,South India,3.52,21.67,53.79,40.53,1910.28,79.2,363.34
2024-03-24,AD004,Hackathon,YouTube,17–21 Age,79876,4171,757,434,226,75946.35,1660035.68,North India,5.22,18.15,57.33,52.07,2085.8,100.33,336.05
2024-03-25,AD001,UG Admission,Google Ads,17–21 Age,122186,5865,1463,777,313,54949.89,1100080.07,South India,4.8,24.94,53.11,40.28,1901.97,37.56,175.56
2024-03-25,AD004,Hackathon,YouTube,17–21 Age,199247,9891,2264,1217,616,105185.38,4785145.21,East India,4.96,22.89,53.75,50.62,4449.25,46.46,170.76
2024-03-26,AD001,UG Admission,Google Ads,17–21 Age,274044,13557,2893,1644,828,131707.58,6173759.68,North India,4.95,21.34,56.83,50.36,4587.47,45.53,159.07
2024-03-26,AD004,Hackathon,YouTube,22–27 Age,244500,9131,2098,1346,655,146175.82,3464551.93,East India,3.73,22.98,64.16,48.66,2270.13,69.67,223.17
2024-03-27,AD001,UG Admission,Google Ads,17–21 Age,75569,3044,699,363,210,43169.18,954211.72,Pan India,4.03,22.96,51.93,57.85,2110.4,61.76,205.57
2024-03-27,AD004,Hackathon,YouTube,17–21 Age,62090,3649,636,301,174,58686.75,569195.34,South India,5.88,17.43,47.33,57.81,869.89,92.27,337.28
2024-03-28,AD001,UG Admission,Google Ads,17–21 Age,151614,5544,1000,552,221,66293.7,838838.11,South India,3.66,18.04,55.2,40.04,1165.34,66.29,299.97
2024-03-28,AD004,Hackathon,YouTube,17–21 Age,275576,19381,2993,1920,883,152033.82,2850575.87,Pan India,7.03,15.44,64.15,45.99,1774.96,50.8,172.18
2024-03-29,AD001,UG Admission,Google Ads,17–21 Age,128767,7454,1142,540,253,99239.26,960812.07,West India,5.79,15.32,47.29,46.85,868.18,86.9,392.25
2024-03-29,AD004,Hackathon,YouTube,25–35 Age,94022,2854,695,411,192,58116.78,1323997.7,North India,3.04,24.35,59.14,46.72,2178.17,83.62,302.69
2024-03-30,AD001,UG Admission,Google Ads,17–21 Age,168427,7496,1354,707,399,121004.62,2780010.07,North India,4.45,18.06,52.22,56.44,2197.44,89.37,303.27
2024-03-30,AD004,Hackathon,YouTube,17–21 Age,153437,5657,1049,519,211,147977.24,1161334.2,East India,3.69,18.54,49.48,40.66,684.81,141.07,701.31
2024-03-31,AD001,UG Admission,Google Ads,17–21 Age,80636,5687,1072,607,344,59284.93,2288813.48,East India,7.05,18.85,56.62,56.67,3760.7,55.3,172.34
2024-03-31,AD004,Hackathon,YouTube,25–35 Age,158630,4927,822,475,264,141499.38,1140875.76,East India,3.11,16.68,57.79,55.58,706.28,172.14,535.98
2024-04-01,AD001,UG Admission,Google Ads,17–21 Age,186499,6536,1354,621,368,85229.02,2637713.85,West India,3.5,20.72,45.86,59.26,2994.85,62.95,231.6
2024-04-02,AD001,UG Admission,Google Ads,17–21 Age,280440,19647,3222,1784,885,254339.0,4246093.25,North India,7.01,16.4,55.37,49.61,1569.46,78.94,287.39
2024-04-03,AD001,UG Admission,Google Ads,17–21 Age,79911,2837,458,283,153,34959.15,584662.54,South India,3.55,16.14,61.79,54.06,1572.42,76.33,228.49
2024-04-04,AD001,UG Admission,Google Ads,17–21 Age,274653,14146,2816,1386,561,208104.41,3892837.87,West India,5.15,19.91,49.22,40.48,1770.62,73.9,370.95
2024-04-05,AD001,UG Admission,Google Ads,17–21 Age,165340,10645,1684,807,389,129203.32,3018743.31,West India,6.44,15.82,47.92,48.2,2236.43,76.72,332.14
2024-04-06,AD001,UG Admission,Google Ads,17–21 Age,282778,15067,2772,1717,949,219848.01,5156798.93,West India,5.33,18.4,61.94,55.27,2245.62,79.31,231.66
2024-04-07,AD001,UG Admission,Google Ads,17–21 Age,285987,22561,5121,2466,1091,146348.42,3872314.53,Pan India,7.89,22.7,48.15,44.24,2545.96,28.58,134.14
2024-04-08,AD001,UG Admission,Google Ads,17–21 Age,200034,14443,3338,1578,716,189341.96,5411518.93,Pan India,7.22,23.11,47.27,45.37,2758.07,56.72,264.44
2024-04-09,AD001,UG Admission,Google Ads,17–21 Age,114098,4796,979,559,277,95244.65,1500707.12,Pan India,4.2,20.41,57.1,49.55,1475.63,97.29,343.84
2024-04-10,AD001,UG Admission,Google Ads,17–21 Age,230730,8044,1273,591,285,100417.85,2085502.25,North India,3.49,15.83,46.43,48.22,1976.82,78.88,352.34
2024-04-11,AD001,UG Admission,Google Ads,17–21 Age,221570,12355,2256,1301,521,200217.89,2522440.58,Pan India,5.58,18.26,57.67,40.05,1159.85,88.75,384.3
2024-04-12,AD001,UG Admission,Google Ads,17–21 Age,241871,18824,3533,2181,917,126584.31,7087676.71,South India,7.78,18.77,61.73,42.04,5499.17,35.83,138.04
2024-04-13,AD001,UG Admission,Google Ads,17–21 Age,288853,12032,2732,1717,785,202094.55,2398171.83,East India,4.17,22.71,62.85,45.72,1086.66,73.97,257.45
2024-04-14,AD001,UG Admission,Google Ads,17–21 Age,213540,14462,3456,1678,696,108897.67,3431908.04,West India,6.77,23.9,48.55,41.48,3051.5,31.51,156.46
2024-04-15,AD001,UG Admission,Google Ads,17–21 Age,72233,3762,590,318,184,57707.1,1314021.37,West India,5.21,15.68,53.9,57.86,2177.05,97.81,313.63
2024-04-16,AD001,UG Admission,Google Ads,17–21 Age,167205,5074,1208,604,322,115667.4,2387204.39,West India,3.03,23.81,50.0,53.31,1963.85,95.75,359.22
2024-04-17,AD001,UG Admission,Google Ads,17–21 Age,234584,15677,3010,1913,842,190234.63,4025666.51,West India,6.68,19.2,63.55,44.01,2016.16,63.2,225.93
2024-04-18,AD001,UG Admission,Google Ads,17–21 Age,50267,3518,817,515,226,39781.59,893338.11,West India,7.0,23.22,63.04,43.88,2145.61,48.69,176.02
2024-04-19,AD001,UG Admission,Google Ads,17–21 Age,147737,9789,2427,1461,710,115882.02,4999994.77,South India,6.63,24.79,60.2,48.6,4214.73,47.75,163.21
2024-04-20,AD001,UG Admission,Google Ads,17–21 Age,103945,5827,1089,686,290,45623.84,1291459.42,South India,5.61,18.69,62.99,42.27,2730.67,41.9,157.32
2024-04-21,AD001,UG Admission,Google Ads,17–21 Age,180309,13125,2445,1328,595,107078.07,4718406.56,South India,7.28,18.63,54.31,44.8,4306.51,43.79,179.96
2024-04-22,AD001,UG Admission,Google Ads,17–21 Age,165998,7203,1295,834,489,155076.27,3804206.8,South India,4.34,17.98,64.4,58.63,2353.12,119.75,317.13
2024-04-23,AD001,UG Admission,Google Ads,17–21 Age,204547,9363,1756,1126,509,150706.37,2219931.49,Pan India,4.58,18.75,64.12,45.2,1373.02,85.82,296.08
2024-04-24,AD001,UG Admission,Google Ads,17–21 Age,124784,7174,1288,783,351,103744.92,1765941.04,Pan India,5.75,17.95,60.79,44.83,1602.2,80.55,295.57
2024-04-25,AD001,UG Admission,Google Ads,17–21 Age,132967,10361,1745,990,467,65512.99,1832026.4,Pan India,7.79,16.84,56.73,47.17,2696.43,37.54,140.28
2024-04-26,AD001,UG Admission,Google Ads,17–21 Age,260506,13356,3163,1998,854,256268.15,4686283.68,West India,5.13,23.68,63.17,42.74,1728.66,81.02,300.08
2024-04-27,AD001,UG Admission,Google Ads,17–21 Age,229208,9355,2081,1043,469,178259.19,2674523.87,Pan India,4.08,22.24,50.12,44.97,1400.36,85.66,380.08
2024-04-28,AD001,UG Admission,Google Ads,17–21 Age,171241,7348,1294,719,302,85665.34,1939708.81,West India,4.29,17.61,55.56,42.0,2164.29,66.2,283.66
2024-04-29,AD001,UG Admission,Google Ads,17–21 Age,161956,10797,1786,1036,542,150183.86,2235498.12,East India,6.67,16.54,58.01,52.32,1388.51,84.09,277.09
2024-04-30,AD001,UG Admission,Google Ads,17–21 Age,61492,4436,909,457,244,50083.82,751942.31,West India,7.21,20.49,50.28,53.39,1401.37,55.1,205.26
2024-05-01,AD001,UG Admission,Google Ads,17–21 Age,203882,9925,2110,963,504,181726.55,3279195.9,South India,4.87,21.26,45.64,52.34,1704.47,86.13,360.57
